Model,MAE,MSE,R2
LinearRegression,82657.94605892914,10549721686.16184,0.9146454505137862
RobustRegression,199465.55955429267,61664910393.2493,0.5010881990728193
RidgeRegression,82659.67244409776,10549745186.670172,0.91464526037841
LassoRegression,82657.94662172231,10549717660.356379,0.9146454830853384
ElasticNet,99126.80843102589,15081376466.559593,0.8779812271613102
PolynomialRegression,83413.36434665471,10664698460.725855,0.9137152088366847
SGDRegressor,7.006770446583254e+17,5.0580129043949094e+35,-4.092282484725449e+24
ANN,199241.68065454662,61418459040.991684,0.5030821610718177
RandomForest,97468.94865503373,14837204773.807419,0.8799567451372475
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,102160.92081000573,15943249530.43311,0.8710080776063108
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
